"ISO","year","armed_conflict"
"BFA",2019,1
"BGD",2000,0
"BGD",2001,1
"BGD",2002,1
"BGD",2003,0
"BGD",2004,0
"BGD",2005,1
"BGD",2006,1
"BGD",2007,1
"BGD",2008,0
"BGD",2009,0
"BGD",2010,0
"BGD",2011,0
"BGD",2012,0
"BGD",2013,0
"BGD",2014,1
"BGD",2015,0
"BGD",2016,0
"BGD",2017,1
"BGD",2018,1
"BGD",2019,1
"BGR",2000,NA
"BGR",2001,NA
"BGR",2002,NA
"BGR",2003,NA
"BGR",2004,NA
"BGR",2005,NA
"BGR",2006,NA
"BGR",2007,NA
"BGR",2008,NA
"BGR",2009,NA
"BGR",2010,NA
"BGR",2011,NA
"BGR",2012,NA
"BGR",2013,NA
"BGR",2014,NA
"BGR",2015,NA
"BGR",2016,NA
"BGR",2017,NA
"BGR",2018,NA
"BGR",2019,NA
"BHR",2000,NA
"BHR",2001,NA
"BHR",2002,NA
"BHR",2003,NA
"BHR",2004,NA
"BHR",2005,NA
"BHR",2006,NA
"BHR",2007,NA
"BHR",2008,NA
"BHR",2009,NA
"BHR",2010,NA
"BHR",2011,NA
"BHR",2012,1
"BHR",2013,NA
"BHR",2014,NA
"BHR",2015,NA
"BHR",2016,NA
"BHR",2017,NA
"BHR",2018,NA
"BHR",2019,NA
"BHS",2000,NA
"BHS",2001,NA
"BHS",2002,NA
"BHS",2003,NA
"BHS",2004,NA
"BHS",2005,NA
"BHS",2006,NA
"BHS",2007,NA
"BHS",2008,NA
"BHS",2009,NA
"BHS",2010,NA
"BHS",2011,NA
"BHS",2012,NA
"BHS",2013,NA
"BHS",2014,NA
"BHS",2015,NA
"BHS",2016,NA
"BHS",2017,NA
"BHS",2018,NA
"BHS",2019,NA
"BIH",2000,NA
"BIH",2001,NA
"BIH",2002,NA
"BIH",2003,NA
"BIH",2004,NA
"BIH",2005,NA
"BIH",2006,NA
"BIH",2007,NA
"BIH",2008,NA
"BIH",2009,NA
"BIH",2010,NA
"BIH",2011,NA
"BIH",2012,NA
"BIH",2013,NA
"BIH",2014,NA
"BIH",2015,NA
"BIH",2016,NA
"BIH",2017,NA
"BIH",2018,NA
"BIH",2019,NA
"BLR",2000,NA
"BLR",2001,NA
"BLR",2002,NA
"BLR",2003,NA
"BLR",2004,NA
"BLR",2005,NA
"BLR",2006,NA
"BLR",2007,NA
"BLR",2008,NA
"BLR",2009,NA
"BLR",2010,NA
"BLR",2011,NA
"BLR",2012,NA
"BLR",2013,NA
"BLR",2014,NA
"BLR",2015,NA
"BLR",2016,NA
"BLR",2017,NA
"BLR",2018,NA
"BLR",2019,NA
"BLZ",2000,NA
"BLZ",2001,NA
"BLZ",2002,NA
"BLZ",2003,NA
"BLZ",2004,NA
"BLZ",2005,NA
"BLZ",2006,NA
"BLZ",2007,NA
"BLZ",2008,NA
"BLZ",2009,NA
"BLZ",2010,NA
"BLZ",2011,NA
"BLZ",2012,NA
"BLZ",2013,NA
"BLZ",2014,NA
"BLZ",2015,NA
"BLZ",2016,NA
"BLZ",2017,NA
"BLZ",2018,NA
"BLZ",2019,NA
"BOL",2000,NA
"BOL",2001,1
"BOL",2002,NA
"BOL",2003,NA
"BOL",2004,NA
"BOL",2005,NA
"BOL",2006,NA
"BOL",2007,NA
"BOL",2008,NA
"BOL",2009,NA
"BOL",2010,NA
"BOL",2011,NA
"BOL",2012,NA
"BOL",2013,NA
"BOL",2014,NA
"BOL",2015,NA
"BOL",2016,NA
"BOL",2017,NA
"BOL",2018,NA
"BOL",2019,NA
"BRA",2000,1
"BRA",2001,1
"BRA",2002,1
"BRA",2003,1
"BRA",2004,1
"BRA",2005,1
"BRA",2006,1
"BRA",2007,0
"BRA",2008,1
"BRA",2009,0
"BRA",2010,1
"BRA",2011,0
"BRA",2012,1
"BRA",2013,1
"BRA",2014,0
"BRA",2015,0
"BRA",2016,0
"BRA",2017,1
"BRA",2018,1
"BRA",2019,1
"BRB",2000,NA
"BRB",2001,NA
"BRB",2002,NA
"BRB",2003,NA
"BRB",2004,NA
"BRB",2005,NA
"BRB",2006,NA
"BRB",2007,NA
"BRB",2008,NA
"BRB",2009,NA
"BRB",2010,NA
"BRB",2011,NA
"BRB",2012,NA
"BRB",2013,NA
"BRB",2014,NA
"BRB",2015,NA
"BRB",2016,NA
"BRB",2017,NA
"BRB",2018,NA
"BRB",2019,NA
"BRN",2000,NA
"BRN",2001,NA
"BRN",2002,NA
"BRN",2003,NA
"BRN",2004,NA
"BRN",2005,NA
"BRN",2006,NA
"BRN",2007,NA
"BRN",2008,NA
"BRN",2009,NA
"BRN",2010,NA
"BRN",2011,NA
"BRN",2012,NA
"BRN",2013,NA
"BRN",2014,NA
"BRN",2015,NA
"BRN",2016,NA
"BRN",2017,NA
"BRN",2018,NA
"BRN",2019,NA
"BTN",2000,NA
"BTN",2001,NA
"BTN",2002,NA
"BTN",2003,NA
"BTN",2004,NA
"BTN",2005,0
"BTN",2006,NA
"BTN",2007,NA
"BTN",2008,NA
"BTN",2009,NA
"BTN",2010,NA
"BTN",2011,NA
"BTN",2012,NA
"BTN",2013,NA
"BTN",2014,NA
"BTN",2015,NA
"BTN",2016,NA
"BTN",2017,NA
"BTN",2018,NA
"BTN",2019,NA
"BWA",2000,NA
"BWA",2001,NA
"BWA",2002,NA
"BWA",2003,NA
"BWA",2004,NA
"BWA",2005,NA
"BWA",2006,NA
"BWA",2007,NA
"BWA",2008,NA
"BWA",2009,NA
"BWA",2010,NA
"BWA",2011,NA
"BWA",2012,NA
"BWA",2013,NA
"BWA",2014,NA
"BWA",2015,NA
"BWA",2016,NA
"BWA",2017,NA
"BWA",2018,NA
"BWA",2019,NA
"CAF",2000,0
"CAF",2001,0
"CAF",2002,1
"CAF",2003,1
"CAF",2004,0
"CAF",2005,0
"CAF",2006,0
"CAF",2007,1
"CAF",2008,1
"CAF",2009,0
"CAF",2010,1
"CAF",2011,1
"CAF",2012,1
"CAF",2013,1
"CAF",2014,1
"CAF",2015,1
"CAF",2016,1
"CAF",2017,1
"CAF",2018,1
"CAF",2019,1
"CAN",2000,0
"CAN",2001,0
"CAN",2002,0
"CAN",2003,NA
"CAN",2004,NA
"CAN",2005,NA
"CAN",2006,NA
"CAN",2007,NA
"CAN",2008,NA
"CAN",2009,NA
"CAN",2010,NA
"CAN",2011,NA
"CAN",2012,NA
"CAN",2013,NA
"CAN",2014,NA
"CAN",2015,NA
"CAN",2016,NA
"CAN",2017,NA
"CAN",2018,NA
"CAN",2019,NA
"CHE",2000,NA
"CHE",2001,NA
"CHE",2002,NA
"CHE",2003,NA
"CHE",2004,NA
"CHE",2005,NA
"CHE",2006,NA
"CHE",2007,NA
"CHE",2008,NA
"CHE",2009,NA
"CHE",2010,NA
"CHE",2011,NA
"CHE",2012,NA
"CHE",2013,NA
"CHE",2014,NA
"CHE",2015,NA
"CHE",2016,NA
"CHE",2017,NA
"CHE",2018,NA
"CHE",2019,NA
"CHL",2000,NA
"CHL",2001,NA
"CHL",2002,NA
"CHL",2003,NA
"CHL",2004,NA
"CHL",2005,NA
"CHL",2006,NA
"CHL",2007,NA
"CHL",2008,NA
"CHL",2009,NA
"CHL",2010,NA
"CHL",2011,NA
"CHL",2012,NA
"CHL",2013,NA
"CHL",2014,NA
"CHL",2015,NA
"CHL",2016,NA
"CHL",2017,NA
"CHL",2018,NA
"CHL",2019,NA
"CHN",2000,0
"CHN",2001,NA
"CHN",2002,NA
"CHN",2003,NA
"CHN",2004,NA
"CHN",2005,NA
"CHN",2006,0
"CHN",2007,NA
"CHN",2008,0
"CHN",2009,1
"CHN",2010,1
"CHN",2011,NA
"CHN",2012,NA
"CHN",2013,NA
"CHN",2014,NA
"CHN",2015,NA
"CHN",2016,0
"CHN",2017,NA
"CHN",2018,0
"CHN",2019,NA
"CIV",2000,0
"CIV",2001,1
"CIV",2002,0
"CIV",2003,1
"CIV",2004,1
"CIV",2005,1
"CIV",2006,1
"CIV",2007,0
"CIV",2008,0
"CIV",2009,0
"CIV",2010,0
"CIV",2011,1
"CIV",2012,1
"CIV",2013,0
"CIV",2014,0
"CIV",2015,NA
"CIV",2016,NA
"CIV",2017,1
"CIV",2018,NA
"CIV",2019,NA
"CMR",2000,NA
"CMR",2001,0
"CMR",2002,0
"CMR",2003,NA
"CMR",2004,NA
"CMR",2005,0
"CMR",2006,0
"CMR",2007,NA
"CMR",2008,NA
"CMR",2009,0
"CMR",2010,0
"CMR",2011,NA
"CMR",2012,NA
"CMR",2013,NA
"CMR",2014,0
"CMR",2015,1
"CMR",2016,1
"CMR",2017,1
"CMR",2018,1
"CMR",2019,1
"COD",2000,1
"COD",2001,1
"COD",2002,1
"COD",2003,1
"COD",2004,1
"COD",2005,1
"COD",2006,1
"COD",2007,1
"COD",2008,1
"COD",2009,1
"COD",2010,1
"COD",2011,1
"COD",2012,1
"COD",2013,1
"COD",2014,1
"COD",2015,1
"COD",2016,1
"COD",2017,1
"COD",2018,1
"COD",2019,1
"COG",2000,1
"COG",2001,NA
"COG",2002,0
