"Year","ISO","Earthquake","Drought"
2008,"RUS",1,0
2008,"RWA",1,0
2008,"SOM",0,1
2008,"SYR",0,1
2008,"THA",0,1
2008,"TJK",0,1
2008,"UGA",0,1
2008,"USA",1,0
2009,"AFG",1,0
2009,"ALB",1,0
2009,"ARG",0,1
2009,"ASM",1,0
2009,"BDI",0,1
2009,"BGD",0,1
2009,"BTN",1,0
2009,"CHN",1,1
2009,"CRI",1,0
2009,"ECU",0,1
2009,"ETH",0,1
2009,"GEO",1,0
2009,"GTM",0,1
2009,"HND",1,1
2009,"IDN",1,0
2009,"IND",0,1
2009,"IRN",1,0
2009,"ITA",1,0
2009,"JPN",1,0
2009,"KGZ",0,1
2009,"MWI",1,0
2009,"NER",0,1
2009,"NPL",0,1
2009,"PHL",1,0
2009,"PRY",0,1
2009,"SLV",0,1
2009,"SSD",0,1
2009,"TCD",0,1
2009,"TON",1,0
2009,"VEN",0,1
2009,"WSM",1,0
2010,"AFG",1,0
2010,"BDI",0,1
2010,"BOL",0,1
2010,"BRA",0,1
2010,"BRB",0,1
2010,"CHL",1,0
2010,"CHN",1,1
2010,"DJI",0,1
2010,"ETH",0,1
2010,"GRD",0,1
2010,"GUY",0,1
2010,"HTI",1,0
2010,"IDN",1,0
2010,"IRN",1,0
2010,"KEN",0,1
2010,"LCA",0,1
2010,"MEX",1,0
2010,"MLI",0,1
2010,"MOZ",0,1
2010,"MRT",0,1
2010,"NZL",1,0
2010,"RUS",0,1
2010,"SLB",1,0
2010,"SOM",0,1
2010,"SRB",1,0
2010,"THA",0,1
2010,"TJK",1,0
2010,"TTO",0,1
2010,"TUR",1,0
2010,"TWN",1,0
2010,"UGA",0,1
2010,"USA",1,0
2010,"VCT",0,1
2010,"ZWE",0,1
2011,"AFG",0,1
2011,"BFA",0,1
2011,"BTN",1,0
2011,"CHN",1,0
2011,"ESP",1,0
2011,"ETH",0,1
2011,"GTM",1,0
2011,"IDN",1,0
2011,"IND",1,0
2011,"JPN",1,0
2011,"KEN",0,1
2011,"KGZ",1,0
2011,"LSO",0,1
2011,"MEX",1,1
2011,"MLI",0,1
2011,"MMR",1,0
2011,"MRT",0,1
2011,"NER",0,1
2011,"NPL",1,0
2011,"NZL",1,0
2011,"PAK",1,0
2011,"PER",1,0
2011,"PHL",1,0
2011,"SDN",0,1
2011,"SEN",0,1
2011,"SOM",0,1
2011,"THA",1,1
2011,"TJK",1,0
2011,"TUR",1,0
2011,"TUV",0,1
2011,"TZA",0,1
2011,"USA",0,1
2011,"UZB",1,0
2012,"AFG",1,0
2012,"AGO",0,1
2012,"AZE",1,0
2012,"BGR",1,0
2012,"BRA",0,1
2012,"CHL",1,0
2012,"CHN",1,0
2012,"CMR",0,1
2012,"CRI",1,0
2012,"GMB",0,1
2012,"GTM",1,1
2012,"HND",0,1
2012,"IDN",1,0
2012,"IRN",1,0
2012,"ITA",1,1
2012,"LKA",0,1
2012,"MDA",0,1
2012,"MEX",1,0
2012,"MMR",1,0
2012,"MWI",0,1
2012,"PER",1,0
2012,"PHL",1,0
2012,"PRK",0,1
2012,"PRY",0,1
2012,"RUS",0,1
2012,"TCD",0,1
2012,"THA",0,1
2012,"TJK",1,0
2012,"UKR",0,1
2012,"USA",0,1
2013,"AFG",1,0
2013,"BOL",0,1
2013,"CHN",1,1
2013,"COL",1,0
2013,"ECU",0,1
2013,"GTM",1,0
2013,"HUN",1,0
2013,"IDN",1,0
2013,"IND",1,0
2013,"IRN",1,0
2013,"JPN",1,0
2013,"MHL",0,1
2013,"NAM",0,1
2013,"NZL",1,1
2013,"PAK",1,0
2013,"PAN",0,1
2013,"PER",1,0
2013,"PHL",1,0
2013,"PRY",0,1
2013,"SLB",1,0
2013,"TWN",1,0
2013,"ZWE",0,1
2014,"BFA",0,1
2014,"BOL",0,1
2014,"BRA",0,1
2014,"CHL",1,0
2014,"CHN",1,1
2014,"COM",1,0
2014,"CRI",0,1
2014,"DZA",1,0
2014,"ECU",1,0
2014,"GRC",1,0
2014,"GTM",1,1
2014,"HND",0,1
2014,"HTI",0,1
2014,"IRN",1,0
2014,"JAM",0,1
2014,"JPN",1,0
2014,"KEN",0,1
2014,"LKA",0,1
2014,"MDG",0,1
2014,"MEX",1,0
2014,"MYS",0,1
2014,"NIC",1,1
2014,"PER",1,0
2014,"SEN",0,1
2014,"SLV",0,1
2014,"SOM",0,1
2014,"THA",1,1
2014,"TUR",1,0
2014,"USA",1,1
2014,"ZAF",1,0
2015,"AFG",1,0
2015,"BGD",1,0
2015,"BWA",0,1
2015,"CHL",1,0
2015,"CHN",1,1
2015,"COD",1,0
2015,"COL",1,1
2015,"CUB",0,1
2015,"ETH",0,1
2015,"FJI",0,1
2015,"GMB",0,1
2015,"IDN",1,1
2015,"IND",1,1
2015,"KGZ",1,0
2015,"MHL",0,1
2015,"MWI",0,1
2015,"MYS",1,0
2015,"NAM",0,1
2015,"NER",0,1
2015,"NPL",1,0
2015,"PAK",1,0
2015,"PAN",0,1
2015,"PHL",0,1
2015,"PLW",0,1
2015,"PNG",0,1
2015,"PRK",0,1
2015,"SDN",0,1
2015,"SLB",0,1
2015,"SOM",0,1
2015,"THA",0,1
2015,"TJK",1,0
2015,"TLS",1,0
2015,"TON",0,1
2015,"USA",0,1
2015,"VNM",0,1
2015,"WSM",0,1
2015,"ZAF",0,1
2016,"BGD",1,0
2016,"BOL",0,1
2016,"CHN",1,1
2016,"ECU",1,0
2016,"FSM",0,1
2016,"HTI",0,1
2016,"IDN",1,0
2016,"IND",1,0
2016,"ITA",1,0
2016,"JPN",1,0
2016,"KEN",0,1
2016,"KHM",0,1
2016,"KOR",1,0
2016,"LKA",0,1
2016,"LSO",0,1
2016,"MDG",0,1
2016,"MKD",1,0
2016,"MMR",1,0
2016,"MOZ",0,1
2016,"NZL",1,0
2016,"PAK",1,0
2016,"PER",1,0
2016,"PHL",1,0
2016,"PRY",0,1
2016,"SLB",1,0
2016,"SSD",0,1
2016,"SWZ",0,1
2016,"TJK",1,0
2016,"TLS",0,1
2016,"TWN",1,0
2016,"TZA",1,0
2016,"UGA",1,0
2016,"USA",1,0
2017,"AGO",0,1
2017,"CHN",1,1
2017,"CPV",0,1
2017,"GRC",1,0
2017,"GTM",1,0
2017,"IDN",1,0
2017,"IRN",1,0
2017,"IRQ",1,0
2017,"ITA",1,1
2017,"KGZ",1,0
2017,"KOR",1,0
2017,"MDG",0,1
2017,"MEX",1,0
2017,"MRT",0,1
2017,"NER",0,1
2017,"PHL",1,0
2017,"PRK",0,1
2017,"TCD",0,1
2017,"TUR",1,0
2017,"USA",0,1
2017,"ZAF",0,1
2017,"ZWE",0,1
2018,"AFG",0,1
2018,"ARG",0,1
2018,"AUS",0,1
2018,"CHN",1,0
2018,"CRI",0,1
2018,"GTM",0,1
2018,"HND",0,1
2018,"HTI",1,0
2018,"IDN",1,0
2018,"IND",0,1
2018,"IRN",1,0
2018,"JPN",1,0
2018,"LTU",0,1
2018,"MEX",1,0
2018,"MRT",0,1
2018,"NAM",0,1
2018,"NIC",0,1
2018,"PAN",0,1
2018,"PER",1,0
2018,"PNG",1,0
2018,"POL",0,1
2018,"SEN",0,1
2018,"SLV",1,1
2018,"TWN",1,0
2018,"URY",0,1
2018,"USA",0,1
2019,"ALB",1,0
2019,"ARG",0,1
2019,"BWA",0,1
2019,"CHL",1,0
2019,"CHN",1,0
2019,"ECU",1,0
2019,"FRA",1,0
2019,"IDN",1,0
2019,"IRN",1,0
2019,"JPN",1,0
2019,"KEN",0,1
2019,"LAO",0,1
2019,"LKA",0,1
2019,"LSO",0,1
2019,"PAK",1,1
2019,"PER",1,0
2019,"PHL",1,1
2019,"PNG",1,0
2019,"PRK",0,1
2019,"SLV",1,0
2019,"SOM",0,1
2019,"SWZ",0,1
2019,"THA",0,1
2019,"TUR",1,0
2019,"USA",1,0
2019,"VNM",0,1
2019,"ZAF",0,1
2019,"ZMB",0,1
